iter	Logloss
0	0.3061347701
1	0.2256599496
2	0.1941005548
3	0.1833918022
4	0.1802202866
5	0.1773018409
6	0.1754810407
7	0.1747598687
8	0.1739316283
9	0.1732842177
10	0.1718333496
11	0.1711160301
12	0.1709147023
13	0.1706996929
14	0.1702335672
15	0.1697326159
16	0.1693502149
17	0.1691273574
18	0.1682312101
19	0.1674209821
20	0.1665386878
21	0.1662734613
22	0.1662039128
23	0.165725959
24	0.1646222292
25	0.1637614897
26	0.1636614757
27	0.1634727618
28	0.1633770723
29	0.1633618493
30	0.1627436062
31	0.1621581696
32	0.1615825389
33	0.1615315553
34	0.1607734254
35	0.1603448198
36	0.1596822779
37	0.1594916381
38	0.1590486515
39	0.1585671496
40	0.1582172678
41	0.1578708339
42	0.1575011657
43	0.1573425368
44	0.1571729648
45	0.1568406794
46	0.1564996686
47	0.1562697958
48	0.1558439
49	0.1553541125
50	0.1549665197
51	0.1547246619
52	0.1544167397
53	0.1543913766
54	0.1539604769
55	0.1536066542
56	0.1531327818
57	0.1529403764
58	0.1526569104
59	0.1522339539
60	0.1515844642
61	0.1510836903
62	0.1506515327
63	0.1506193733
64	0.149452023
65	0.1493245056
66	0.1490440417
67	0.1488568719
68	0.1487714873
69	0.1486751879
70	0.1484782424
71	0.1476167214
72	0.1459547473
73	0.1452815039
74	0.1450728658
75	0.144993182
76	0.144599031
77	0.1444398772
78	0.144299712
79	0.144197556
