iter	Logloss
0	0.3077766459
1	0.2333271415
2	0.2015087008
3	0.1914524211
4	0.1846952811
5	0.1825613606
6	0.1787076627
7	0.1772844375
8	0.1753935778
9	0.1747616568
10	0.1739845349
11	0.1730628928
12	0.1728750681
13	0.1716269794
14	0.1707664934
15	0.1701373253
16	0.169915094
17	0.1694108651
18	0.1684078078
19	0.1680983432
20	0.1673999542
21	0.1672400805
22	0.1671259944
23	0.1670628439
24	0.1664984768
25	0.16589135
26	0.1656424083
27	0.1655327587
28	0.1655217911
29	0.1648234937
30	0.1644214645
31	0.1640917493
32	0.1630203862
33	0.1628161378
34	0.1624797853
35	0.162209375
36	0.1617326847
37	0.1614237123
38	0.1611594597
39	0.1607375685
40	0.159727619
41	0.1594304374
42	0.1588510705
43	0.1586904425
44	0.1584308085
45	0.1582315644
46	0.1579482191
47	0.1578743055
48	0.1569497774
49	0.1563048251
50	0.1559275147
51	0.1556792123
52	0.1551734729
53	0.1550001797
54	0.1543154173
55	0.1541823333
56	0.1539552597
57	0.1536192819
58	0.1531606344
59	0.1527028103
60	0.1524546166
61	0.1517100472
62	0.1510635674
63	0.1510165329
64	0.1507480591
65	0.1504868992
66	0.1502045116
67	0.1499836516
68	0.1496529034
69	0.1493944449
70	0.1488885574
71	0.1485014936
72	0.1483531551
73	0.1479899358
74	0.1479898539
75	0.1477192779
76	0.1474096901
77	0.1468958886
78	0.1467437042
79	0.1466441869
