iter	Logloss
0	0.3005936646
1	0.2239986885
2	0.1920811713
3	0.1830911335
4	0.1793866477
5	0.1746966636
6	0.1730371817
7	0.1713996827
8	0.1704176937
9	0.1696717702
10	0.1690376066
11	0.1678841509
12	0.1670821923
13	0.1669325671
14	0.1669095154
15	0.1665374381
16	0.1658688457
17	0.165560905
18	0.1649472381
19	0.1644189099
20	0.16407243
21	0.1635246205
22	0.1628942819
23	0.1625758823
24	0.1622884059
25	0.161961687
26	0.1616205662
27	0.1613103703
28	0.1598848927
29	0.1594065688
30	0.1590178593
31	0.1586042663
32	0.1583744574
33	0.1576021022
34	0.1572907762
35	0.15668362
36	0.1562666317
37	0.156128467
38	0.1558870515
39	0.1549335479
40	0.1547790054
41	0.153808809
42	0.1536139632
43	0.1529765155
44	0.1523034937
45	0.1515922696
46	0.1515679267
47	0.1510916278
48	0.1503486565
49	0.1499165625
50	0.1492935313
51	0.1487236797
52	0.1485822394
53	0.1483737695
54	0.1479164303
55	0.14787426
56	0.1475376096
57	0.1471916962
58	0.1468805803
59	0.1465774545
60	0.146359731
61	0.1460735796
62	0.1457396683
63	0.1451988615
64	0.1449386126
65	0.1441406597
66	0.1437882068
67	0.1436081109
68	0.1433718943
69	0.14324623
70	0.1428913239
71	0.1424834838
72	0.1419270099
73	0.1417734267
74	0.1413556221
75	0.1412350721
76	0.1408288354
77	0.1406463915
78	0.1402907527
79	0.139925229
